,Year,Dept/Unit Number,Job Title_Chief Safety & Security OFF,Job Title_Flex Team Security Officer,Job Title_Safety And Security Off,Job Title_School Security Officer,Job Title_Senior School Security Officer,Job Title_Senior Security Officer,Total Security,Total Security_Filled,Job Title_Career Counseling Manager,Job Title_Director of Counseling,"Job Title_Director, School Counseling & Post Secondary Advising",Job Title_Guidance Counselor Assistant,Job Title_HS Counseling Specialist,Job Title_K‐8 Counseling Specialist,Job Title_Manager-Secdry Schl Counselng,Job Title_School Counselor,Total Counseling,Total Counseling_Filled,School ID,pos_name_0,School,Total,Bilingual_N,Bilingual_P,IEP_N,IEP_P,Free_Lunch_N,Free_Lunch_P,Job Title_Cntrl Office Security Officer,Job Title_K-8 Counseling Specialist
253,2010,24731,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,610529,OGDEN HS,Ogden HS,532,18,0.033834586466166,83,0.156015037593985,185,0.347744360902256,0,0
254,2011,24731,0,0,0,3,0,0,3,1,0,0,0,1,0,0,0,3,4,2,610529,OGDEN HS,Ogden International High School,558,25,0.0448,91,0.1631,319,0.5717,0,0
255,2012,24731,0,0,0,3,1,0,4,4,0,0,0,1,0,0,0,3,4,4,610529,OGDEN HS,Ogden International High School,763,50,0.0655,103,0.135,393,0.5151,0,0
256,2013,24731,0,0,0,2,1,0,3,3,0,0,0,0,0,0,0,4,4,4,610529,OGDEN HS,Ogden International High School,784,40,0.051020408163265,102,0.130102040816327,358,0.456632653061224,0,0
257,2014,24731,0,0,0,2,1,0,3,2,0,0,0,1,0,0,0,4,5,5,610529,OGDEN HS,Ogden International High School,752,52,0.0691,85,0.113,372,0.4947,0,0
258,2010,28151,0,0,0,14,0,0,14,13,0,0,0,1,0,0,0,0,1,1,610302,EXCEL - ORR HIGH,LEARN Chrt - EXCEL,295,0,0,21,0.071186440677966,274,0.928813559322034,0,0
259,2011,28151,0,0,0,12,0,0,12,9,0,0,0,2,0,0,0,3,5,4,610389,ORR HS,Orr Academy High School,823,17,0.0207,228,0.277,802,0.9745,0,0
260,2012,28151,0,0,0,13,0,0,13,9,0,0,0,1,0,0,0,3,4,2,610389,ORR HS,Orr Academy High School,676,13,0.0192,180,0.2663,647,0.9571,0,0
261,2013,28151,0,0,0,11,0,0,11,11,0,0,0,0,0,0,0,1,1,1,610389,ORR HS,Orr Academy High School,647,20,0.030911901081917,145,0.224111282843895,449,0.693972179289026,0,0
262,2014,28151,0,0,0,11,0,0,11,9,0,0,0,0,0,0,0,1,1,1,610389,ORR HS,Orr Academy High School,458,15,0.0328,100,0.2183,435,0.9498,0,0
